id,title,description,status,priority,due_date,completed_at,created_at
85,Close deals,,pending,high,,,2026-02-05 02:56:41.994185
84,Book discovery calls,,pending,medium,,,2026-02-05 02:56:23.337096
83,Send 10 cold emails,,pending,medium,,,2026-02-05 02:56:21.291194
82,Send 10 cold emails,,pending,medium,,,2026-02-05 02:56:19.226598
81,Send 10 cold emails,,pending,medium,,,2026-02-05 02:56:17.178036
80,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:55:37.268132
79,Send 10 cold emails,,pending,medium,,,2026-02-05 02:55:35.223196
78,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:55:33.157994
77,Send 10 cold emails,,pending,medium,,,2026-02-05 02:55:31.116390
76,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:55:29.075188
75,Send 10 cold emails,,pending,medium,,,2026-02-05 02:55:27.003237
74,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:55:24.951439
73,Send 10 cold emails,,pending,medium,,,2026-02-05 02:55:22.891187
72,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:55:20.816294
71,Send 10 cold emails,,pending,medium,,,2026-02-05 02:55:18.771192
70,Message Best Roofing Now for testimonial,,pending,medium,,,2026-02-05 02:55:16.715406
69,Message You% for testimonial,,pending,medium,,,2026-02-05 02:55:14.666785
68,Message Pundok Studios for testimonial,,pending,medium,,,2026-02-05 02:55:12.602226
67,Celebrate wins!,,pending,medium,,,2026-02-05 02:43:56.751765
66,Plan next month's sprint,,pending,medium,,,2026-02-05 02:43:54.686860
65,Document what worked,,pending,medium,,,2026-02-05 02:43:52.621416
64,Review entire month,,pending,medium,,,2026-02-05 02:43:50.559084
63,Onboard new clients,,pending,medium,,,2026-02-05 02:43:48.498440
62,Collect deposits,,pending,medium,,,2026-02-05 02:43:46.432124
60,Follow up all proposals,,pending,medium,,,2026-02-05 02:43:42.306578
59,Conduct discovery calls,,pending,medium,,,2026-02-05 02:43:40.264099
56,Close deals,,pending,medium,,,2026-02-05 02:43:34.126268
55,Handle objections,,pending,medium,,,2026-02-05 02:43:32.074263
54,Follow up proposals,,pending,medium,,,2026-02-05 02:43:30.004238
53,Follow up previous proposals,,pending,medium,,,2026-02-05 02:43:27.941832
52,Send 2-3 proposals to interested prospects,,pending,medium,,,2026-02-05 02:43:25.876086
51,Present offers on calls,,pending,medium,,,2026-02-05 02:43:23.835240
50,Conduct 2-3 discovery calls (SPIN framework),,pending,medium,,,2026-02-05 02:43:21.773471
48,Send Loom audits to warm leads,,pending,medium,,,2026-02-05 02:43:17.707782
45,Document winning approaches,,pending,medium,,,2026-02-05 02:43:11.589948
44,Refine scripts based on what's working,,pending,medium,,,2026-02-05 02:43:09.551253
43,Review results and metrics,,pending,medium,,,2026-02-05 02:43:07.506126
42,Clean up prospect list,,pending,medium,,,2026-02-05 02:43:05.445473
41,Send break-up emails to all non-responders,,pending,medium,,,2026-02-05 02:43:03.385740
38,Follow up with agencies,,pending,medium,,,2026-02-05 02:42:57.266691
36,Send Loom videos to prospects,,pending,medium,,,2026-02-05 02:42:53.158934
35,Record 3 Loom audits for engaged prospects,,pending,medium,,,2026-02-05 02:42:51.107949
32,Follow up LinkedIn connections,,pending,medium,,,2026-02-05 02:42:44.952309
30,Adjust messaging based on feedback,,pending,medium,,,2026-02-05 02:42:40.856900
29,Book discovery calls,,pending,medium,,,2026-02-05 02:42:38.818840
28,Review all responses,,pending,medium,,,2026-02-05 02:42:36.766492
27,Send 10 agency outreach emails,,pending,medium,,,2026-02-05 02:42:34.713280
26,Find 10 AU marketing agencies,,pending,medium,,,2026-02-05 02:42:32.653395
25,Review which email templates work best,,pending,medium,,,2026-02-05 02:42:30.590235
24,Send break-up emails to Week 1 non-responders,,pending,medium,,,2026-02-05 02:42:28.521278
21,Record 2 Loom audits for hot prospects,,pending,medium,,,2026-02-05 02:42:22.325006
19,Send 10 new LinkedIn connections,,pending,medium,,,2026-02-05 02:42:18.205591
18,Follow up Day 1-5 emails,,pending,medium,,,2026-02-05 02:42:16.133011
17,Send 10 LinkedIn connections,,pending,medium,,,2026-02-05 02:42:14.062767
16,Send 10 cold emails,,pending,medium,,,2026-02-05 02:42:12.007792
15,Send 10 LinkedIn connection requests,,pending,medium,,,2026-02-05 02:42:09.946623
14,Send 5 cold emails,,pending,medium,,,2026-02-05 02:42:07.882596
13,Prepare email templates in outreach tool,,pending,medium,,,2026-02-05 02:42:05.832960
12,Write 5 personalised cold emails,,pending,medium,,,2026-02-05 02:42:03.763236
11,Find 25 tradies with bad websites (Google Maps),,pending,medium,,,2026-02-05 02:42:01.703636
10,Find 25 tradies with bad websites (HiPages),,pending,medium,,,2026-02-05 02:41:59.654917
9,Add case studies to portfolio,,pending,medium,,,2026-02-05 02:41:57.612276
8,Create portfolio page focused on tradies,,pending,medium,,,2026-02-05 02:41:55.541734
7,Update LinkedIn About section with proof,,pending,medium,,,2026-02-05 02:41:53.493069
6,Update LinkedIn headline: AU tradies focus,,pending,medium,,,2026-02-05 02:41:51.445332
2,Screenshot You% Nutrition #1 Google ranking,,pending,medium,,,2026-02-05 02:41:43.205560
1,Screenshot Pundok Studios #1 Google ranking,,pending,medium,,,2026-02-05 02:41:41.147996
